******************************************************************************************
Pad Opening Locator
******************************************************************************************
Created : May 23 11:55:16 2018
Libname : mklib_just_pads
Cellname : HCCstar_padring
Pad Label Hierarchy : 0
110 bond pad elements found
110 labeled bond pad elements found
0 non-labeled bond pad elements found
******************************************************************************************
******************************************************************************************
Pad Opening Name      X               Y               Area            Width:Height            
******************************************************************************************
GND                   162.700000      213.840000      9025.000000     95.000000 : 95.000000   
GND                   126.380000      459.210000      18050.000000    190.000000 : 95.000000  
GND                   126.380000      579.210000      18050.000000    190.000000 : 95.000000  
DataIn4_padN          126.380000      739.210000      18050.000000    190.000000 : 95.000000  
DataIn4_padP          126.380000      859.210000      18050.000000    190.000000 : 95.000000  
GND                   126.380000      1019.210000     18050.000000    190.000000 : 95.000000  
DataIn3_padN          126.380000      1179.210000     18050.000000    190.000000 : 95.000000  
DataIn3_padP          126.380000      1299.210000     18050.000000    190.000000 : 95.000000  
GND                   126.380000      1459.210000     18050.000000    190.000000 : 95.000000  
DataIn2_padN          126.380000      1619.210000     18050.000000    190.000000 : 95.000000  
DataIn2_padP          126.380000      1739.210000     18050.000000    190.000000 : 95.000000  
GND                   126.380000      1899.210000     18050.000000    190.000000 : 95.000000  
DataIn1_padN          126.380000      2059.210000     18050.000000    190.000000 : 95.000000  
DataIn1_padP          126.380000      2179.210000     18050.000000    190.000000 : 95.000000  
GND                   126.380000      2339.210000     18050.000000    190.000000 : 95.000000  
DataIn0_padN          126.380000      2499.210000     18050.000000    190.000000 : 95.000000  
DataIn0_padP          126.380000      2619.210000     18050.000000    190.000000 : 95.000000  
GND                   126.380000      2779.210000     18050.000000    190.000000 : 95.000000  
DataCLK_padN          126.380000      2939.210000     18050.000000    190.000000 : 95.000000  
DataCLK_padP          126.380000      3059.210000     18050.000000    190.000000 : 95.000000  
GND                   126.380000      3219.210000     18050.000000    190.000000 : 95.000000  
GP1_o_pad             126.380000      3339.210000     18050.000000    190.000000 : 95.000000  
GP1_i_pad             126.380000      3459.210000     18050.000000    190.000000 : 95.000000  
ABC_RSTb_o_pad        126.380000      3579.210000     18050.000000    190.000000 : 95.000000  
OutEncode_i_pad       126.380000      3699.210000     18050.000000    190.000000 : 95.000000  
RSTXOR_i_pad          126.380000      3819.210000     18050.000000    190.000000 : 95.000000  
padID<3>              126.380000      3939.210000     18050.000000    190.000000 : 95.000000  
padID<2>              126.380000      4059.210000     18050.000000    190.000000 : 95.000000  
padID<1>              126.380000      4179.210000     18050.000000    190.000000 : 95.000000  
padID<0>              126.380000      4299.210000     18050.000000    190.000000 : 95.000000  
VDD                   126.380000      4419.210000     18050.000000    190.000000 : 95.000000  
GND                   126.380000      4539.210000     18050.000000    190.000000 : 95.000000  
BG_o_pad              126.380000      4659.210000     18050.000000    190.000000 : 95.000000  
DVDD                  126.380000      4779.210000     18050.000000    190.000000 : 95.000000  
