******************************************************************************************
Pad Opening Locator
******************************************************************************************
Created : Mar 24 14:46:02 2021
Libname : mklib_backup
Cellname : HCCstarTMR


Pad Label Hierarchy : 0
122 bond pad elements found
122 labeled bond pad elements found
0 non-labeled bond pad elements found
******************************************************************************************

******************************************************************************************
Pad Opening Name      X               Y               Area            Width:Height            
******************************************************************************************
GND                   164.910000      213.840000      9025.000000     95.000000 : 95.000000   
GND                   128.590000      459.210000      18050.000000    190.000000 : 95.000000  
GND                   128.590000      579.210000      18050.000000    190.000000 : 95.000000  
DataIn6_padN          128.590000      739.210000      18050.000000    190.000000 : 95.000000  
DataIn6_padP          128.590000      859.210000      18050.000000    190.000000 : 95.000000  
GND                   128.590000      1019.210000     18050.000000    190.000000 : 95.000000  
DataIn7_padN          128.590000      1179.210000     18050.000000    190.000000 : 95.000000  
DataIn7_padP          128.590000      1299.210000     18050.000000    190.000000 : 95.000000  
GND                   128.590000      1459.210000     18050.000000    190.000000 : 95.000000  
DataIn8_padN          128.590000      1619.210000     18050.000000    190.000000 : 95.000000  
DataIn8_padP          128.590000      1739.210000     18050.000000    190.000000 : 95.000000  
GND                   128.590000      1899.210000     18050.000000    190.000000 : 95.000000  
DataIn9_padN          128.590000      2059.210000     18050.000000    190.000000 : 95.000000  
DataIn9_padP          128.590000      2179.210000     18050.000000    190.000000 : 95.000000  
GND                   128.590000      2339.210000     18050.000000    190.000000 : 95.000000  
DataIn10_padN         128.590000      2499.210000     18050.000000    190.000000 : 95.000000  
DataIn10_padP         128.590000      2619.210000     18050.000000    190.000000 : 95.000000  
GND                   128.590000      2779.210000     18050.000000    190.000000 : 95.000000  
DataCLK_padN          128.590000      2939.210000     18050.000000    190.000000 : 95.000000  
DataCLK_padP          128.590000      3059.210000     18050.000000    190.000000 : 95.000000  
GND                   128.590000      3219.210000     18050.000000    190.000000 : 95.000000  
GP1_o_pad             128.590000      3339.210000     18050.000000    190.000000 : 95.000000  
GP1_i_pad             128.590000      3459.210000     18050.000000    190.000000 : 95.000000  
ABC_RSTb_o_pad        128.590000      3579.210000     18050.000000    190.000000 : 95.000000  
OutEncode_i_pad       128.590000      3699.210000     18050.000000    190.000000 : 95.000000  
RSTXOR_i_pad          128.590000      3819.210000     18050.000000    190.000000 : 95.000000  
padID<3>              128.590000      3939.210000     18050.000000    190.000000 : 95.000000  
padID<2>              128.590000      4059.210000     18050.000000    190.000000 : 95.000000  
padID<1>              128.590000      4179.210000     18050.000000    190.000000 : 95.000000  
padID<0>              128.590000      4299.210000     18050.000000    190.000000 : 95.000000  
VDD                   128.590000      4419.210000     18050.000000    190.000000 : 95.000000  
GND                   128.590000      4539.210000     18050.000000    190.000000 : 95.000000  
BG_o_pad              128.590000      4659.210000     18050.000000    190.000000 : 95.000000  
DVDD                  128.590000      4779.210000     18050.000000    190.000000 : 95.000000  
GND                   128.590000      4899.210000     18050.000000    190.000000 : 95.000000  
GND                   163.840000      5145.090000     9025.000000     95.000000 : 95.000000   
GND                   409.210000      5181.410000     18050.000000    95.000000 : 190.000000  
GND                   529.210000      5181.410000     18050.000000    95.000000 : 190.000000  
GND                   649.210000      5181.410000     18050.000000    95.000000 : 190.000000  
GND                   769.210000      5181.410000     18050.000000    95.000000 : 190.000000  
DVDD                  889.210000      5181.410000     18050.000000    95.000000 : 190.000000  
VDDH_FUSE             1058.350000     5181.410000     18050.000000    95.000000 : 190.000000  
VDDH_FUSE             1178.350000     5181.410000     18050.000000    95.000000 : 190.000000  
FusePP_i_pad          1347.490000     5181.410000     18050.000000    95.000000 : 190.000000  
R3L1_IN_padN          1507.490000     5181.410000     18050.000000    95.000000 : 190.000000  
R3L1_IN_padP          1627.490000     5181.410000     18050.000000    95.000000 : 190.000000  
LCB_IN_padN           1827.490000     5181.410000     18050.000000    95.000000 : 190.000000  
LCB_IN_padP           1947.490000     5181.410000     18050.000000    95.000000 : 190.000000  
BTC_IN_padN           2147.490000     5181.410000     18050.000000    95.000000 : 190.000000  
BTC_IN_padP           2267.490000     5181.410000     18050.000000    95.000000 : 190.000000  
Data1_padN            2467.490000     5181.410000     18050.000000    95.000000 : 190.000000  
Data1_padP            2587.490000     5181.410000     18050.000000    95.000000 : 190.000000  
DVDD                  2956.920000     5181.410000     18050.000000    95.000000 : 190.000000  
GND                   3076.920000     5181.410000     18050.000000    95.000000 : 190.000000  
DVDD                  3196.920000     5181.410000     18050.000000    95.000000 : 190.000000  
GND                   3316.920000     5181.410000     18050.000000    95.000000 : 190.000000  
DVDD                  3436.920000     5181.410000     18050.000000    95.000000 : 190.000000  
GND                   3556.920000     5181.410000     18050.000000    95.000000 : 190.000000  
GND                   3676.920000     5181.410000     18050.000000    95.000000 : 190.000000  
GND                   3796.920000     5181.410000     18050.000000    95.000000 : 190.000000  
GND                   3916.920000     5181.410000     18050.000000    95.000000 : 190.000000  
GND                   4161.090000     5146.160000     9025.000000     95.000000 : 95.000000   
GND                   4197.410000     4859.210000     18050.000000    190.000000 : 95.000000  
