TITLE: Bill of Materials
DATE: 01/10/2024
DESIGN: front_panel_ethernet_jtag_serial
TEMPLATE: Z:\cad\tools\cadence_templates\spreadsheet-format.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,DNF
"410_357_B-DIGILENT,410-357-B",IC1,1,?,?,?,?,?,?,?,?
"7X2RECPT_SMD_2MM-878321420,7X2RECPT_SMD_2MM",J1,1,878321420,?,?,?,?,?,MOLEX CONNECTOR CORPORATION,?
"CAPCERSMDCL2_0603-100NF,16V",C2,1,CC0603_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0805-10UF,16V_GEN",C5,1,CC0805_10UF_16V_10%_X5R,?,?,?,?,?,GENERIC,?
"CAP_NP-445-7348-2-ND,CAP_NP","C1,C86,C111,C115",4,445-7348-2-ND,?,?,?,?,?,TDK CORP,?
"CAP_NP-GRM188R60J226MEA0D,CAP_NP","C109,C117",2,GRM188R60J226MEA0D,?,?,?,?,?,MURATA,?
"CAP_NP-GRT155R61E105ME01D,CAP_NP",C110,1,GRT155R61E105ME01D,?,?,?,?,?,MURATA,?
"CON20P_SFP-1367073-1-1367073-1,CON20P_SFP-1367073-1",J6,1,1367073-1,?,?,?,?,?,TE CONNECTIVITY AMP CONNECTORS,?
CON4P-53398-0471,J4,1,53398-0471,?,?,?,?,?,MOLEX,?
CON4P-67068-8001,J8,1,67068-8001,?,?,?,?,?,MOLEX,?
"IND-CIGT201208EH1R0MNE,IND","L7,L8",2,CIGT201208EH1R0MNE,?,?,?,?,?,SAMSUNG ELECTRO-MECHANICS,?
"MT_HOLE-MT_HOLE,MT_HOLE","MH1,MH2,MH3,MH4",4,Mt_Hole,?,?,?,?,?,HEP,?
PCOAX-U.FL-R-SMT-1(10),"J2,J3,J5,J7",4,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,?
"RSMD0603_1/10W-10K,1%",R2,1,R0603_10K_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0603_1/10W-4.7K,1%","R1,R3,R4,R5,R6,R7,R8",7,R0603_4K7_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
"SFP_CAGE-2227023-1-2227023-1,SFP_CAGE-2227023-1",U1,1,2227023-1,?,?,?,?,?,TE CONNECTIVITY AMP CONNECTORS,?
USBLC6-2SC6,D1,1,USBLC6-2SC6,?,?,?,?,?,ST MICROELECTRONICS,?
TOTAL, ,34, , , , , , , , 
