TITLE: Bill of Materials
DATE: 07/30/2024
DESIGN: front_panel_jtag_serial
TEMPLATE: Z:\cad\tools\cadence_templates\spreadsheet-format.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,DNF
"410_357_B-DIGILENT,410-357-B",IC1,1,?,?,?,?,?,?,?,?
"CAPCERSMDCL2_0603-100NF,16V","C1,C2,C3",3,CC0603_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,?
CON14P-MOLEX_87833,J1,1,87833-1420,?,?,?,?,?,MOLEX,?
CON16P_USB_C_USB2-2137160001,J2,1,213716-0001,?,?,?,?,?,Molex,?
CON4P-53398-0471,J6,1,53398-0471,?,?,?,?,?,MOLEX,?
"MT_HOLE-MT_HOLE,MT_HOLE","MH1,MH2,MH3,MH4",4,Mt_Hole,?,?,?,?,?,HEP,?
"RSMD0603_1/10W-10K,1%",R2,1,R0603_10K_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0603_1/10W-4.7K,1%","R1,R3,R4",3,R0603_4K7_1%_0.1W_100PPM,?,?,?,?,?,GENERIC,?
"RSMD0603_1/16W-XX,5%","R5,R6",2,R0603_XX_5%_0.063W_100PPM,?,?,?,?,?,GENERIC,?
SHF-105-01-L-D-RA-SHF-105-01-L-D-RA,"J4,J5",2,SHF-105-01-L-D-RA,?,?,?,?,?,Samtec,?
USBLC6-2SC6,D1,1,USBLC6-2SC6,?,?,?,?,?,ST MICROELECTRONICS,?
TOTAL, ,20, , , , , , , , 
