TITLE: Bill of Materials
DATE: 04/28/2023
DESIGN: top
TEMPLATE: Z:\cad\tools\cadence_templates\spreadsheet-format.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,DNF
"24AA025E48T-I/SN-24AA025E48T-I/SN,24AA025E48T-I/SN",U18,1,24AA025E48T-I/SN,?,?,?,?,?,MICROCHIP TECHNOLOGY,?
"7X2RECPT_SMD_2MM-878321420,7X2RECPT_SMD_2MM",J10,1,878321420,?,?,?,?,?,MOLEX CONNECTOR CORPORATION,?
ADCLK948BCPZ,"IC3,IC4",2,ADCLK948BCPZ,?,?,?,?,?,ANALOG DEVICES,?
"ATMGA128-ATMEGA128A-AU,ATMGA128",U4,1,ATMEGA128A-AU,?,?,?,?,?,MICRO CHIP,?
"CAPCERSMDCL2_0402-100NF,16V_GEN","C8,C12,C13,C14,C15,C19,C24,C27,C29,C32,C37,C49,C97,C98,C99,C100,C101,C102,C105,C106,C113,C119,C120,C122,C133,C135,C136,C137,C138,C139,C142,C146,C148,C149,C150,C151,C152,C153,C154,C157,C158,C159,C165,C166,C167,C169,C170,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199",73,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0402-1NF_X7R,50V","C18,C21,C22,C123,C124,C125",6,CC0402_1NF_50V_10%_X7R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0402-1UF,16V","C5,C6,C7,C114,C116,C118,C130,C131,C132,C134,C160,C168,C173",13,CC0402_1.0UF_16V_10%_X5R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0603-10UF,6.3V","C126,C127,C128,C129,C162,C163,C171,C172",8,CC0603_10UF_6V3_20%_X5R,?,?,?,?,?,GENERIC,?
"CAPCERSMDCL2_0603-1UF,16V","C23,C41",2,CC0603_1UF_16V_10%_X5R,?,?,?,?,?,GENERIC,?
"CAP_NP-445-7348-2-ND,CAP_NP","C57,C62,C64,C66,C69,C86,C90,C94,C103,C107,C111,C115,C140,C145,C156",15,445-7348-2-ND,?,?,?,?,?,TDK CORP,?
"CAP_NP-445-8173-1-ND,CAP_NP","C42,C47,C48,C92",4,445-8173-1-ND,?,?,?,?,?,TDK CORP,?
"CAP_NP-C0402C104K9RACTU,CAP_NP","C53,C93,C104",3,C0402C104K9RACTU,?,?,?,?,?,KEMET,?
"CAP_NP-GRM152R60J105ME15D,CAP_NP","C9,C20,C38,C147",4,GRM152R60J105ME15D,?,?,?,?,?,MURATA,?
"CAP_NP-GRM155R60J474KE19J,CAP_NP",C46,1,GRM155R60J474KE19J,?,?,?,?,?,MURATA,?
"CAP_NP-GRM188R60J226MEA0D,CAP_NP","C88,C96,C109,C117,C143,C161",6,GRM188R60J226MEA0D,?,?,?,?,?,MURATA,?
"CAP_NP-GRM188R61A106KE69D,CAP_NP","C87,C108,C112,C121,C141,C155",6,GRM188R61A106KE69D,?,?,?,?,?,MURATA,?
"CAP_NP-GRM21BR60J476ME15K,CAP_NP","C50,C54,C55,C56,C59,C60,C65,C68,C71,C72,C81,C82",12,GRM21BR60J476ME15K,?,?,?,?,?,MURATA,?
"CAP_NP-GRM31CD80J107ME39K,CAP_NP","C16,C95",2,GRM31CD80J107ME39K,?,?,?,?,?,MURATA,?
"CAP_NP-GRT155R61E105ME01D,CAP_NP","C89,C110,C144",3,GRT155R61E105ME01D,?,?,?,?,?,MURATA,?
"CAP_NP_0-445-7348-2-ND,CAP_NP_0","C1,C2,C3,C4,C10,C11,C26,C28,C30,C31,C33,C34,C35,C36,C39,C40,C43,C45,C91",19,445-7348-2-ND,?,?,?,?,?,TDK CORP,?
CON10P-HTST-105-01-L-DV,J13,1,HTST-105-01-L-DV,?,?,?,?,?,SAMTEC,?
"CON20P_SFP-1367073-1-1367073-1,CON20P_SFP-1367073-1","J3,J6,J11",3,1367073-1,?,?,?,?,?,TE CONNECTIVITY AMP CONNECTORS,?
CON4P-53398-0471,J16,1,53398-0471,?,?,?,?,?,MOLEX,?
"CONN30P-FTSH-115-01-L-DV,CONN30P",J4,1,FTSH-115-01-L-DV,?,?,?,?,?,SAMTEC,?
"DIODE-1N4148W-13-F,DIODE",D12,1,1N4148W-13-F,?,?,?,?,?,DIODES INCORPORATED,?
"ELCAPTAN_SMD-220UF,25V","C25,C51,C52,C58",4,597D227X0025M2T,?,?,?,?,?,VISHAY,?
"FERRITE_SMD-BLM21PG221SN1,MURATA",L9,1,BLM21PG221SN1,?,?,?,?,?,MURATA,?
"FERRITE_SMD-MPZ1608S101A,TDK",L12,1,MPZ1608S101A,?,?,?,?,?,TDK,?
"HDR1X3-HDR1X3,HDR1X3",J12,1,HDR1x3,?,?,?,?,?,SAMTEC,?
"HDT0001-HDT0001,HDT0001",SW1,1,HDT0001,?,?,?,?,?,C&K,?
"IND-74438323100,IND",L4,1,74438323100,?,?,?,?,?,W__RTH ELEKTRONIK,?
"IND-BLM18AG121SN1D,IND","L1,L2,L3,L10",4,BLM18AG121SN1D,?,?,?,?,?,MURATA ELECTRONICS,?
"IND-CIGT201208EH1R0MNE,IND","L5,L6,L7,L8,L11,L13",6,CIGT201208EH1R0MNE,?,?,?,?,?,SAMSUNG ELECTRO-MECHANICS,?
"INV_1CH_OD-SN74LVC1G06DBVTE4,INV_1CH_OD",U15,1,SN74LVC1G06DBVTE4,?,?,?,?,?,TEXAS INSTRUMENTS,?
"LED GREEN 0603_0-LNJ326W83RA,LED GREEN 0603_0","D1,D5,D6",3,LNJ326W83RA,?,?,?,?,?,PANASONIC,?
"LED RED 0603_0-LNJ237W82RA,LED RED 0603_0","D2,D4",2,LNJ237W82RA,?,?,?,?,?,PANASONIC,?
"LED_0-LTST-C193TBKT-5A,LED_0",D3,1,LTST-C193TBKT-5A,?,?,?,?,?,LITE-ON INC.,?
"LM75A-LM75AIMME/NOPB,LM75A",U25,1,LM75AIMME/NOPB,?,?,?,?,?,TEXAS INSTRUMENTS,?
"LP_515XXX-5151230F,LP_515XXX",U1,1,5151230F,?,?,?,?,?,DIALIGHT,?
"LSHM-130-0XXX-L-DV-A-S-LSHM-130-03.0-L-DV-A-S-K-TR,LSHM-130-0XXX-L-DV-A-S",J2,1,LSHM-130-03.0-L-DV-A-S-K-TR,?,?,?,?,?,SAMTEC,?
"LSHM-150-0XXX-L-DV-A-S-LSHM-150-03.0-L-DV-A-S-K-TR,LSHM-150-0XXX-L-DV-A-S",J9,1,LSHM-150-03.0-L-DV-A-S-K-TR,?,?,?,?,?,SAMTEC,?
LTC2991CMS#PBF,IC6,1,LTC2991CMS#PBF,?,?,?,?,?,LINEAR TECHNOLOGY,?
MAX9381ESA_SMD-MAX9381ESA,"U2,U3,U8",3,MAX9381ESA,?,?,?,?,?,?,?
"MCH_CONNECTOR1-MCH1B-EDGE-170,MCH_CONNECTOR1",J7,1,MCH1B-EDGE-170,?,?,?,?,?,HEP,?
"MT_HOLE-MT_HOLE,MT_HOLE","MH1,MH2,MH3,MH4,MH5,MH6,MH7,MH8,MH9,MH10",10,Mt_Hole,?,?,?,?,?,HEP,?
PCOAX-U.FL-R-SMT-1(10),"J14,J15,J17,J18,J19,TE1",6,U.FL-R-SMT-1(10),?,?,?,?,?,HIROSE,?
PTH08T210WAD,"POWER1,PWR1",2,PTH08T210WAD,?,?,?,?,?,TEXAS INSTRUMENTS,?
"R-311-24.9LRCT-ND,R","R16,R31,R48,R50,R51,R53",6,311-24.9LRCT-ND,?,?,?,?,?,YAGEO,?
"R-311-49.9LRCT-ND,R","R20,R23",2,311-49.9LRCT-ND,?,?,?,?,?,YAGEO,?
"R-CRCW060310M0FKEAC,R","R137,R138",2,CRCW060310M0FKEAC,?,?,?,?,?,VISHAY DALE,?
"R-EMA-00003608,R","R3,R5,R63,R135",4,EMA-00003608,?,?,?,?,?,ROHM,?
