STUFF LIST - 1  
24AA025E48T-I/SN-24AA025E48T-IB 24AA025E48T-I/SN         U18             

----------------

7X2RECPT_SMD_2MM-878321420,7X2B 878321420                J10             

----------------

ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC3             
ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA ADCLK948BCPZ             IC4             

----------------

ATMGA128_TQFP-ATMEGA128A-AU,ATB ATMEGA128A-AU            U4              

----------------

CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C8              
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C19             
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C37             
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C135            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C136            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C139            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C148            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C165            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C166            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C175            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C176            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C177            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C178            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C179            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C180            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C181            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C182            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C183            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C184            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C185            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C186            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C187            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C188            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C189            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C190            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C191            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C192            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C193            
CAPCERSMDCL2_0402-100NF,16V_GEA CC0402_100NF_16V_10%_X7R C194            
